,VehId,tile_ID_x,tile_ID_y,day_x,contagem
11,12,48208,64033,Saturday,2
12,12,48208,64033,Thursday,3
28,12,51163,57369,Saturday,2
36,12,56546,47478,Thursday,2
42,12,57370,50746,Saturday,2
43,12,57370,50746,Thursday,2
54,12,57785,57370,Friday,2
59,12,64033,48209,Friday,3
61,12,64033,48209,Thursday,2
104,12,78354,64033,Sunday,2
109,128,20542,29317,Sunday,2
111,128,20542,29325,Sunday,2
113,128,20542,29711,Sunday,2
114,128,20542,29718,Monday,2
115,128,20542,29718,Sunday,3
138,128,29711,35232,Monday,2
139,128,29711,36069,Sunday,3
189,133,21628,33266,Tuesday,2
197,133,30421,35656,Wednesday,2
213,133,33665,33665,Wednesday,2
291,135,21307,20908,Friday,2
293,135,21307,32112,Saturday,2
307,135,27776,20542,Friday,2
309,135,27776,20908,Friday,2
310,135,27776,20908,Thursday,3
362,135,44191,36510,Thursday,2
380,135,47858,36510,Thursday,2
392,135,51163,36510,Thursday,2
405,135,76705,36510,Friday,2
417,140,20542,41347,Sunday,2
472,140,42950,43326,Monday,2
542,145,20542,38896,Wednesday,2
551,145,21628,36069,Tuesday,3
554,145,21628,38896,Tuesday,5
555,145,21628,38896,Wednesday,4
573,145,33665,38896,Tuesday,2
574,145,33665,38896,Wednesday,2
588,145,36472,21628,Wednesday,5
590,145,36472,31283,Tuesday,2
606,145,38896,21628,Thursday,2
676,145,77480,38896,Thursday,2
754,155,48208,78354,Monday,2
825,155,75736,66449,Monday,3
831,155,77480,68590,Friday,2
836,155,77480,70273,Saturday,2
840,155,77480,72384,Sunday,4
843,155,77480,72807,Sunday,3
845,155,77905,68590,Saturday,2
846,155,77905,70273,Sunday,2
856,155,78354,64463,Sunday,2
866,156,30950,20908,Tuesday,2
900,156,50386,43388,Friday,2
901,156,50386,43795,Saturday,2
903,156,50386,45013,Friday,2
904,156,50386,45013,Thursday,4
913,156,50386,45427,Friday,2
944,156,66520,75866,Thursday,3
949,156,66940,75866,Wednesday,3
959,156,74551,74551,Tuesday,2
981,156,76292,65273,Thursday,2
989,156,76292,74988,Wednesday,4
993,156,76292,76292,Wednesday,2
1000,156,77126,74563,Saturday,2
1019,180,64033,66449,Sunday,2
1028,180,66030,66030,Sunday,2
1029,180,66030,73732,Tuesday,4
1039,180,66449,64033,Tuesday,2
1040,180,66449,73732,Monday,2
1041,180,66449,73732,Tuesday,4
1043,180,66449,74155,Monday,6
1044,180,66449,74155,Tuesday,5
1048,180,66449,75436,Monday,2
1049,180,66449,75436,Sunday,3
1050,180,66449,75436,Tuesday,3
1053,180,66449,75860,Monday,2
1054,180,66449,75860,Sunday,2
1055,180,66449,75860,Tuesday,2
1057,180,66520,66449,Tuesday,2
1060,180,66940,66449,Monday,2
1069,180,74155,74155,Monday,2
1140,181,66030,75312,Friday,5
1141,181,66030,75312,Saturday,2
1153,181,66449,64033,Friday,2
1155,181,66449,64033,Wednesday,4
1160,181,66449,73732,Thursday,3
1164,181,66449,75312,Friday,8
1165,181,66449,75312,Saturday,2
1166,181,66449,75312,Thursday,15
1167,181,66449,75312,Wednesday,6
1178,181,66940,78354,Friday,2
1183,181,75312,66449,Friday,7
1185,181,75312,66449,Thursday,4
1191,181,75313,66449,Thursday,2
1194,181,75736,66449,Friday,3
