Unnamed: 0,Veículo,grid_origem,grid_destino,dia,contagem
197,181,66030,75312,Friday,5
198,181,66030,75312,Friday,5
199,181,66030,75312,Friday,5
200,181,66030,75312,Friday,5
201,181,66030,75312,Friday,5
202,181,66030,75312,Saturday,2
203,181,66030,75312,Saturday,2
204,181,66449,64033,Friday,2
205,181,66449,64033,Friday,2
206,181,66449,64033,Wednesday,4
207,181,66449,64033,Wednesday,4
208,181,66449,64033,Wednesday,4
209,181,66449,64033,Wednesday,4
210,181,66449,73732,Thursday,3
211,181,66449,73732,Thursday,3
212,181,66449,73732,Thursday,3
213,181,66449,75312,Friday,8
214,181,66449,75312,Friday,8
215,181,66449,75312,Friday,8
216,181,66449,75312,Friday,8
217,181,66449,75312,Friday,8
218,181,66449,75312,Friday,8
219,181,66449,75312,Friday,8
220,181,66449,75312,Friday,8
221,181,66449,75312,Saturday,2
222,181,66449,75312,Saturday,2
223,181,66449,75312,Thursday,15
224,181,66449,75312,Thursday,15
225,181,66449,75312,Thursday,15
226,181,66449,75312,Thursday,15
227,181,66449,75312,Thursday,15
228,181,66449,75312,Thursday,15
229,181,66449,75312,Thursday,15
230,181,66449,75312,Thursday,15
231,181,66449,75312,Thursday,15
232,181,66449,75312,Thursday,15
233,181,66449,75312,Thursday,15
234,181,66449,75312,Thursday,15
235,181,66449,75312,Thursday,15
236,181,66449,75312,Thursday,15
237,181,66449,75312,Thursday,15
238,181,66449,75312,Wednesday,6
239,181,66449,75312,Wednesday,6
240,181,66449,75312,Wednesday,6
241,181,66449,75312,Wednesday,6
242,181,66449,75312,Wednesday,6
243,181,66449,75312,Wednesday,6
244,181,66940,78354,Friday,2
245,181,66940,78354,Friday,2
246,181,75312,66449,Friday,7
247,181,75312,66449,Friday,7
248,181,75312,66449,Friday,7
249,181,75312,66449,Friday,7
250,181,75312,66449,Friday,7
251,181,75312,66449,Friday,7
252,181,75312,66449,Friday,7
253,181,75312,66449,Thursday,4
254,181,75312,66449,Thursday,4
255,181,75312,66449,Thursday,4
256,181,75312,66449,Thursday,4
257,181,75313,66449,Thursday,2
258,181,75313,66449,Thursday,2
259,181,75736,66449,Friday,3
260,181,75736,66449,Friday,3
261,181,75736,66449,Friday,3
262,181,75736,66449,Thursday,5
263,181,75736,66449,Thursday,5
264,181,75736,66449,Thursday,5
265,181,75736,66449,Thursday,5
266,181,75736,66449,Thursday,5
267,181,75737,66449,Friday,2
268,181,75737,66449,Friday,2
269,181,75737,66449,Thursday,2
270,181,75737,66449,Thursday,2
271,181,75737,66449,Wednesday,2
272,181,75737,66449,Wednesday,2
273,181,76704,66449,Friday,2
274,181,76704,66449,Friday,2
275,181,77130,66449,Friday,5
276,181,77130,66449,Friday,5
277,181,77130,66449,Friday,5
278,181,77130,66449,Friday,5
279,181,77130,66449,Friday,5
303,185,20542,69505,Thursday,2
304,185,20542,69505,Thursday,2
305,185,69505,76279,Monday,2
306,185,69505,76279,Monday,2
307,185,69505,76704,Monday,10
308,185,69505,76704,Monday,10
309,185,69505,76704,Monday,10
310,185,69505,76704,Monday,10
311,185,69505,76704,Monday,10
312,185,69505,76704,Monday,10
313,185,69505,76704,Monday,10
314,185,69505,76704,Monday,10
315,185,69505,76704,Monday,10
316,185,69505,76704,Monday,10
317,185,69505,76704,Tuesday,13
318,185,69505,76704,Tuesday,13
